"ADMIN","proportion_loss_area"
"Brazil",0.382309425200305
"Indonesia",0.240450143929508
"Malaysia",0.0745769130039942
"Argentina",0.0613041067810696
"Paraguay",0.0578699793317453
"Bolivia",0.0329138837838665
"Cambodia",0.0236228060528622
"Vietnam",0.017874695729959
"Myanmar",0.0135449061198668
"Laos",0.0123488003228919
"USA",0.00976158380280013
"Colombia",0.00848951678459552
"Thailand",0.0075734471315569
"Australia",0.00743399593437404
"Mexico",0.00583427529026823
"Peru",0.00571976658363841
"Philippines",0.00430711461868034
"DRC",0.00411551094125023
"Venezuela",0.00277768644795126
"Madagascar",0.00245230032119125
"Guatemala",0.00231058162486721
"Ivory Coast",0.00175617808484755
"Canada",0.00174257309000044
"Chile",0.00171536310030623
"Liberia",0.00143192570765814
"Nigeria",0.00122218203709855
"Honduras",0.00110994082960991
"South Africa",0.000905865906903288
"China",0.000893394661626772
"Guinea",0.000892260912056179
"Belize",0.000763013461008652
"United Republic of Tanzania",0.000744873467879174
"Sierra Leone",0.000723332226037919
"Nicaragua",0.000701790984196665
"Cameroon",0.000692720987631926
"Kenya",0.000621294764684608
"Ghana",0.000513588555478335
"Zambia",0.000512454805907742
"Angola",0.000455767327378125
"Uganda",0.000445563581242794
"Dominican Republic",0.000300443636206973
"Brunei",0.000276634895224533
"Republic of the Congo",0.000273233646512756
"India",0.000252826154242094
"Sri Lanka",0.000221081166265508
"Cuba",0.000193871176571292
"Uruguay",0.00018820242871833
"Gabon",0.000181399931294776
"France",0.000180266181724184
"Suriname",0.000164393687735891
"Papua New Guinea",0.000159858689453521
"Mozambique",0.000157591190312337
"Panama",0.00015418994160056
"Fiji",0.000141718696324044
"Algeria",0.000125846202335751
"Equatorial Guinea",0.000123578703194566
"Taiwan",0.000120177454482789
"Guyana",0.00011110745791805
"Ethiopia",0.000105438710065089
"New Zealand",0.000102037461353312
"Morocco",8.84324665062033e-05
"Guinea-Bissau",8.04962195120569e-05
"Bhutan",7.59612212296875e-05
"Burkina Faso",7.02924733767257e-05
"Ecuador",6.8024974235541e-05
"Chad",6.68912246649487e-05
"New Caledonia",6.12224768119869e-05
"Solomon Islands",5.78212281002099e-05
"Malawi",4.76174819648787e-05
"The Bahamas",4.76174819648787e-05
"Tunisia",4.76174819648787e-05
"Benin",4.5349982823694e-05
"Central African Republic",4.5349982823694e-05
"East Timor",3.62799862589552e-05
"Zimbabwe",2.83437392648088e-05
"Burundi",2.72099896942164e-05
"Trinidad and Tobago",2.2674991411847e-05
"Nepal",2.15412418412547e-05
"Gambia",1.927374270007e-05
"Costa Rica",1.47387444177006e-05
"Vanuatu",1.36049948471082e-05
"Botswana",1.13374957059235e-05
"Japan",9.0699965647388e-06
"eSwatini",7.93624699414645e-06
"Senegal",6.8024974235541e-06
"Mauritius",4.5349982823694e-06
"Rwanda",4.5349982823694e-06
"Afghanistan",0
"Aland",0
"Albania",0
"American Samoa",0
"Andorra",0
